epoch,avg_loss,accuracy
1,4.69498545,0.141593
2,4.63992066,0.150442
3,4.58806833,0.150442
4,4.54007526,0.150442
5,4.49657184,0.150442
6,4.45807184,0.150442
7,4.42486071,0.150442
8,4.39691056,0.150442
9,4.37386140,0.150442
10,4.35508393,0.150442
11,4.33980044,0.150442
12,4.32721565,0.150442
13,4.31661473,0.150442
14,4.30741054,0.150442
15,4.29914720,0.150442
16,4.29147725,0.150442
17,4.28412918,0.150442
18,4.27687519,0.150442
19,4.26950394,0.150442
20,4.26179865,0.150442
21,4.25352030,0.150442
22,4.24439495,0.150442
23,4.23410551,0.150442
24,4.22228927,0.150442
25,4.20854373,0.150442
26,4.19244513,0.150442
27,4.17358521,0.150442
28,4.15163203,0.150442
29,4.12641837,0.150442
30,4.09805036,0.150442
31,4.06700569,0.150442
32,4.03415747,0.176991
33,4.00065719,0.181416
34,3.96769105,0.172566
35,3.93624285,0.172566
36,3.90698415,0.172566
37,3.88026361,0.172566
38,3.85611804,0.172566
39,3.83431326,0.176991
40,3.81444658,0.176991
41,3.79607676,0.176991
42,3.77882016,0.172566
43,3.76239013,0.172566
44,3.74659493,0.172566
45,3.73131698,0.172566
46,3.71648868,0.172566
47,3.70207199,0.172566
48,3.68804327,0.172566
49,3.67438330,0.172566
50,3.66107115,0.181416
